steps,reward,extrinsic_reward,intrinsic_reward
72,-280.59386976065167,-280.74192797599414,0.14805821534246208
166,-256.14703374800393,-256.2827934464173,0.13575969841331242
234,-124.23022086788315,-124.33049462531108,0.10027375742793083
312,-222.54508756584198,-222.6742782837589,0.1291907179169357
387,-347.8281172858027,-347.9511124085112,0.12299512270838024
448,-277.5777086839122,-277.6762020668989,0.09849338298663497
533,-540.6070206149212,-540.83330997347,0.22628935854882007
595,-454.81419197406535,-454.98214304430326,0.1679510702379048
675,-416.0249318373724,-416.20247554568203,0.17754370830953117
755,-616.0601842079561,-616.3690818502818,0.30889764232560996
834,-636.4686644133667,-636.7529078133891,0.28424340002238746
895,-394.859378773604,-394.996192073055,0.13681329945102336
964,-493.40510670298056,-493.56278384344,0.15767714045941822
1051,-747.5742698370638,-747.879720314887,0.3054504778236151
1113,-455.0456159367036,-455.15619403941525,0.11057810271158816
1173,-517.3260669842841,-517.452932635929,0.12686565164476635
1247,-607.4882117282583,-607.6567559148168,0.16854418655857437
1321,-584.0737839679551,-584.2679914947915,0.19420752683654427
1406,-597.7058513350195,-597.916675469034,0.21082413401454678
1467,-490.21072421310294,-490.3489919423481,0.13826772924512623
1550,-589.386405804097,-589.5884735071056,0.20206770300865173
1629,-703.5394094217644,-703.7726523066945,0.2332428849302233
1681,-213.05211607119003,-213.13001207489452,0.07789600370451809
1756,-501.49774251209703,-501.67253894118704,0.17479642909020185
1810,-310.5843097799276,-310.6684457816002,0.08413600167259574
1891,-470.1612664070773,-470.35465611218007,0.19338970510289075
1952,-358.35027161001966,-358.4544470253754,0.10417541535571218
2009,-428.0346971117781,-428.1453745588549,0.1106774470768869
2089,-709.9328217203614,-710.112834558438,0.1800128380768001
2160,-590.4167890161439,-590.5412263297173,0.12443731357343493
2212,-386.27107182906246,-386.3414231670765,0.07035133801400663
2277,-591.9862475538087,-592.1186373876799,0.1323898338712752
2336,-387.13198578307833,-387.2122336308143,0.08024784773588182
2406,-499.49995890535536,-499.6154256819387,0.11546677658334374
2473,-506.10861063675964,-506.2107657860219,0.10215514926239846
2525,-395.48596011100847,-395.56255482219666,0.07659471118822693
2585,-406.59798340153685,-406.67832728325186,0.08034388171508906
2642,-383.2160433870071,-383.2952554441319,0.07921205712482332
2704,-479.35518674322714,-479.4432463233669,0.08805958013981581
2777,-641.9681560641623,-642.109148565354,0.14099250119179485
2832,-330.95008328827157,-331.01597374538017,0.06589045710861682
2892,-456.9826017390818,-457.067489225033,0.08488748595118525
2966,-668.6167757222789,-668.7667765782576,0.15000085597857835
3031,-578.2591537379723,-578.3805799706904,0.12142623271793133
3092,-430.7328495361588,-430.79570754135284,0.06285800519399345
3166,-553.0397352346318,-553.139268455897,0.0995332212653011
3237,-632.8385365083979,-632.9479136038738,0.1093770954757929
3309,-512.9400721022157,-513.062762281275,0.12269017905928195
3389,-467.6760839143581,-467.80539839410227,0.12931447974406185
3444,-332.42452480080624,-332.47783954334534,0.05331474253907799
3502,-384.292425776202,-384.35796574859296,0.06553997239097951
3568,-424.4197540870151,-424.4953400815121,0.07558599449694157
3619,-359.55083320359563,-359.60837168274315,0.05753847914747895
3682,-466.89292846905414,-466.9676607992627,0.0747323302086443
3745,-438.8715536031274,-438.94645521751215,0.07490161438472567
3824,-761.2482679625767,-761.4030464819892,0.15477851941250262
3892,-592.0864381180146,-592.1812045924366,0.0947664744220674
3949,-366.8604888761214,-366.922237338152,0.06174846203066409
4029,-629.219359719876,-629.3514969426501,0.1321372227743268
4101,-640.6090667684858,-640.6953264694489,0.08625970096327362
4162,-518.3274403476387,-518.3910303744717,0.06359002683311701
4232,-511.31873620672707,-511.39045977707576,0.0717235703486949
4286,-414.4412279282937,-414.4885567353346,0.047328807041049
4358,-560.042819279116,-560.1202730828061,0.07745380369015041
4440,-667.6659392875667,-667.7821009715134,0.11616168394684791
4495,-395.11457893830834,-395.16163937063993,0.04706043233163656
4580,-675.434025205928,-675.5537974400213,0.11977223409339786
4655,-564.4815665040471,-564.5757646180061,0.09419811395928265
4721,-488.9401068290945,-489.0019703423387,0.06186351324431597
4800,-493.7727689976572,-493.8672408447835,0.09447184712626042
4876,-710.8187630553746,-710.9282432409483,0.10948018557392063
4951,-527.7161077725017,-527.7972867038347,0.08117893133312462
5012,-515.8103519315766,-515.8752745645056,0.06492263292893767
5097,-856.5370651214681,-856.659469388036,0.12240426656790081
5158,-476.58640855832635,-476.6349667798045,0.048558221478015196
