steps,rewards
125,-287.7395881104111
234,-202.90537608000398
317,-132.96749635652094
429,-142.90440749053434
680,-308.05327664869094
868,-167.12868179882315
1034,-92.26955297654956
1647,-352.81818321801234
1996,-125.40648500353261
2234,-447.39111283364804
2702,-263.36749700250016
2839,-182.18472561150003
3167,-167.70650762173636
3424,-38.298111467028804
3671,-302.0884808830049
4134,-182.35591414193647
4522,-250.57433557604503
4636,-741.6466474058531
5636,-103.39720569139422
6473,-123.6706537219991
7473,-110.95020174146313
7791,-25.526219962033778
8138,-118.59340304449707
8499,-243.83095584102668
8849,-226.38172484215417
9849,-127.00126126806487
10849,-136.10198295298835
11849,-116.75705320026708
12261,-37.02375804194534
12826,-300.62645375829203
13826,-131.7413543714128
13999,-182.79178633683452
14719,-203.45161277739055
15719,-58.348741332654804
16719,-120.16086955920424
17719,-98.27573756250823
18719,-112.90696852381062
19719,-170.86493436589046
