steps,rewards
124,-62.32953972341386
206,-130.90163747614488
282,-283.8347764675317
410,-121.29499956065469
476,-227.99273112088625
568,-216.996147822096
635,-199.89965791476266
841,-467.305504980193
986,-57.494531887660244
1074,-258.7606300726356
1188,-705.9549733294443
1357,-729.1204319969206
1520,-69.19222657243249
1612,-41.49118628848506
1730,-669.3921070780005
1835,-752.7502498538249
1927,-493.96782682711626
2052,-442.3013429237845
2160,-64.2631011804709
2254,-114.47821645729755
2359,-97.70412533472594
2594,-338.22963490006487
2697,-102.10061966911618
2914,-173.8489357484647
3031,-33.84090697116517
3239,-446.4013145091375
3459,-232.6106250632479
4459,-122.04034051533728
4598,-121.52840516623415
4810,-108.05354419760208
5720,-547.3873496374624
5937,-393.40545794250795
6425,-594.4847684571158
6555,-168.57613619069133
6721,-238.26091322274775
6831,-117.16862011023146
7002,-441.5903792043968
7456,-187.07176650042368
7950,-106.09091360952361
8737,-258.25609616356644
9382,-204.21032864930896
9492,-292.1487964165681
9670,-488.6093419030483
10271,-188.0477138946622
10732,-194.02633203258898
11559,-225.4021072795946
12162,-205.79044222562115
12539,-145.31204165133278
13344,-404.13207054621364
13954,-293.22140509262795
14392,-131.070151590922
14613,-86.50408612153855
15613,-102.28030407271638
16153,-196.1722567116248
16755,-147.99052284472833
17755,-100.10881811998408
18755,-110.21903164492521
19755,-101.86392120974739
