steps,reward,extrinsic_reward,intrinsic_reward
96,-304.14684994570854,-304.3176780544776,0.17082810876891016
203,-429.39611471953134,-429.63182977043357,0.23571505090221764
264,-235.7565461079124,-235.86781135764903,0.11126524973660709
352,-403.58280189333027,-403.77229864567056,0.18949675234034655
422,-300.73191458098535,-300.8900180685328,0.15810348754748701
501,-609.9333258505095,-610.2090504705085,0.2757246199995279
581,-405.83641618849026,-406.0069022666222,0.17048607813194397
635,-372.88092110040947,-373.01463729520674,0.13371619479730726
710,-554.4617703008449,-554.6862196093405,0.22444930849596859
781,-450.46021297733586,-450.6266882958942,0.16647531855851413
849,-473.6703348754647,-473.84656688950207,0.17623201403766872
908,-462.7761179064846,-462.96422177380686,0.18810386732220655
991,-572.9912174957145,-573.3164147412672,0.32519724555313584
1066,-561.6111993643817,-561.822926357238,0.21172699285671112
1126,-498.6539794053665,-498.79261120611477,0.13863180074840784
1197,-567.3648551787165,-567.5601880497211,0.19533287100493904
1275,-470.29242252104257,-470.54797698540824,0.2555544643662869
1359,-626.8929663218141,-627.1454387961464,0.2524724743328988
1435,-537.127647670221,-537.3798159126676,0.25216824244707825
1496,-547.4613086890793,-547.6287546302551,0.1674459411762655
1566,-559.7662815390129,-559.9590591060899,0.19277756707742813
1647,-585.8168744375978,-586.041006020554,0.22413158295676106
1712,-536.9657709805031,-537.1411691182957,0.1753981377929449
1780,-565.6832804287156,-565.868366292801,0.18508586408570407
1865,-593.7820954256998,-594.0833597550472,0.3012643293477595
1956,-137.65237048486452,-137.77648561340027,0.1241151285357774
2015,-551.9923778467721,-552.1805566879827,0.18817884121090175
2088,-627.538459961122,-627.7393150084705,0.20085504734888676
2166,-332.5747865819053,-332.6800331038104,0.10524652190506457
2225,-530.6504161281039,-530.7821417104909,0.1317255823872983
2281,-471.4794435179555,-471.59115525500306,0.1117117370478809
2343,-456.16500733577516,-456.2805882117603,0.11558087598532436
2399,-490.5048351718655,-490.6209538704324,0.11611869856715205
2466,-517.7977226492302,-517.936672138358,0.13894948912784458
2545,-745.8910504834814,-746.1667922087096,0.2757417252287268
2634,-458.29049394554374,-458.48795207268427,0.19745812714099883
2688,-374.3392826302245,-374.4256903394392,0.08640770921483637
2770,-354.00360615846864,-354.1137411118221,0.11013495335355403
2841,-651.2579708926075,-651.4559171882148,0.19794629560783508
2899,-536.2043947943441,-536.3442685077849,0.13987371344119306
2970,-557.4931637112694,-557.6958155850584,0.20265187378972763
3057,-446.3452406991763,-446.52806736626866,0.18282666709274054
3124,-638.2963374774388,-638.4494356875718,0.15309821013361216
3203,-594.0949248401527,-594.2546464981585,0.1597216580063105
3253,-369.3423923922015,-369.4121844548044,0.06979206260293723
3332,-328.3498209359261,-328.44062817526486,0.09080723933875558
3391,-567.6715776669381,-567.8019303422938,0.13035267535597087
3469,-338.52067303590974,-338.61133061050015,0.0906575745902956
3548,-493.80163716548634,-493.96186947804404,0.16023231255821885
3603,-455.7491767697718,-455.8389377510389,0.08976098126731813
3676,-490.61668289511465,-490.768706175014,0.15202327989973127
3763,-684.9577191542996,-685.1670999743666,0.20938082006759942
3836,-593.5402901895349,-593.6912050775718,0.1509148880373687
3898,-576.311545385018,-576.4415247684044,0.12997938338667156
3979,-672.2946328057557,-672.512350669421,0.2177178636658937
4064,-696.3149794009659,-696.4961666583688,0.18118725740350788
4127,-568.6068265468223,-568.711973445896,0.10514689907431604
4186,-477.9535297075075,-478.0350997614461,0.08157005393877625
4255,-510.7774002288031,-510.91676735668665,0.13936712788417938
4332,-655.206607929032,-655.3742625795501,0.1676546505186707
4419,-703.87244300269,-704.0640455808432,0.19160257815383377
4476,-398.70777097895365,-398.7827457703798,0.0749747914262116
4568,-580.0666277210856,-580.2853232769918,0.21869555590674286
4619,-356.322597356807,-356.3808134583435,0.05821610153652727
4698,-596.5231566030027,-596.684572636518,0.16141603351570666
4748,-371.46886505368707,-371.53035750659717,0.06149245291016996
4808,-535.8806683594125,-535.9786745753366,0.0980062159243971
4858,-325.2826070269032,-325.3367676511334,0.054160624230280514
4933,-498.8696910181464,-499.0267700319088,0.1570790137629956
4995,-572.0980273411243,-572.2031005925594,0.10507325143553317
5056,-492.4895020337815,-492.56670527095343,0.07720323717221617
5108,-358.2215919202663,-358.2731870374646,0.051595117198303335
5177,-620.9614627565328,-621.0667445868321,0.10528183029964566
5244,-544.1985914159677,-544.3216776085192,0.12308619255200028
5311,-584.3686033396889,-584.4657884295466,0.09718508985824882
5364,-280.547006956814,-280.59461730946805,0.047610352654010056
5449,-620.8602655198989,-621.0170370925307,0.15677157263271513
5516,-610.2452198256711,-610.3451120029636,0.09989217729307713
5570,-397.5141354083838,-397.57695134434,0.06281593595631421
5641,-662.2533173420555,-662.382049752547,0.1287324104923755
5696,-491.5241422962937,-491.5970744917706,0.07293219547718763
5782,-430.61165586350444,-430.7546939798993,0.14303811639547348
5833,-304.8324594849424,-304.8839630638418,0.05150357889942825
5933,-646.2641744462794,-646.4970530694826,0.23287862320430572
6004,-501.6529907711838,-501.76593332263224,0.11294255144894123
6069,-514.8708960723976,-514.9507382136214,0.07984214122407138
6127,-404.00788903347006,-404.0594051307419,0.05151609727181495
6214,-465.7057861968612,-465.81055403819425,0.10476784133352339
6300,-540.501470521459,-540.5897384803214,0.088267958862707
6365,-557.13932976194,-557.2150285899382,0.07569882799871268
6421,-506.19916941047154,-506.26435432306897,0.06518491259776057
6503,-358.96026601305437,-359.02305882645965,0.06279281340539453
6588,-428.2573223420571,-428.3719912711678,0.11466892911121249
6665,-625.7989616160008,-625.9035652578532,0.10460364185273646
6719,-470.4332700824442,-470.48760020249347,0.05433012004941702
6808,-375.17002656810723,-375.2446974060201,0.07467083791270854
6872,-581.5648612836429,-581.6490823484075,0.08422106476500632
6922,-411.44160706222226,-411.49512430469656,0.05351724247448147
6977,-302.0431486367031,-302.0885082545474,0.04535961784422399
7032,-472.7648538518737,-472.819186984146,0.054333132272586224
7091,-524.0576125505494,-524.1104093672584,0.052796816709451376
7169,-671.9697951364102,-672.0851501368684,0.11535500045865775
7233,-502.6561441418676,-502.7195762951817,0.06343215331435205
7296,-492.77598221180887,-492.85619516353927,0.08021295173093677
7380,-379.718554929899,-379.7818442360722,0.06328930617310106
7443,-582.1322339627884,-582.1999464448529,0.06771248206496239
7523,-720.4400788606041,-720.5677402967943,0.12766143619082865
7610,-419.66065089093183,-419.80398306157997,0.1433321706485003
7664,-404.5603150992562,-404.607307700617,0.04699260136112572
7717,-350.232453959939,-350.27189475520595,0.039440795267000804
7781,-604.1351304773405,-604.2082951565199,0.0731646791798994
7848,-584.9648654556353,-585.03486821153,0.070002755895257
7906,-378.3186621170092,-378.36915412951,0.05049201250076294
7993,-612.1149176848577,-612.2407014584387,0.12578377358149737
8074,-433.14159697721897,-433.23786951635634,0.0962725391378626
8146,-590.144022704631,-590.2138672183197,0.06984451368916779
8199,-369.7551038882875,-369.79082240836635,0.03571852007880807
8281,-576.9679670365186,-577.0366468255526,0.06867978903464973
8337,-393.35122684806765,-393.39438629004354,0.043159441975876706
8418,-439.50412171911523,-439.5913445827088,0.0872228635940701
8493,-693.7992381139047,-693.8917361215305,0.09249800762627276
8554,-512.8543360603021,-512.8982179083139,0.04388184801209717
8623,-605.4982158443469,-605.5628108021143,0.06459495776798575
8700,-653.463369987769,-653.5440097962537,0.08063980848528443
8759,-553.8505046738434,-553.9073011215196,0.056796447676606486
8829,-639.1601414984647,-639.2311722629553,0.0710307644912973
8887,-425.7193319982772,-425.7576669873824,0.03833498910535127
8945,-449.9113156837122,-449.9552015051186,0.04388582140672953
9010,-521.4614646567551,-521.5145477947596,0.05308313800487666
9079,-512.6029445930786,-512.6635534528807,0.060608859802596275
9139,-524.259355052203,-524.2972314971878,0.03787644498515874
9219,-334.39294646707935,-334.43731965152176,0.04437318444252012
9307,-703.2550307382512,-703.3397271649357,0.08469642668496818
9357,-347.41388598651815,-347.4399453800097,0.02605939349159598
9414,-543.5971502043528,-543.6444788216133,0.047328617260791364
9482,-593.4907874601811,-593.5459687699475,0.05518130976706743
9537,-465.4680181861131,-465.5010059631634,0.03298777705058455
9603,-662.5408497407448,-662.6131910988936,0.07234135814942419
9655,-347.1233694257847,-347.1507104025622,0.027340976777486502
9719,-497.43526459291616,-497.49811749415926,0.06285290124360472
9786,-553.7765273865199,-553.8264073248603,0.049879938340745875
9858,-629.2889144671157,-629.3539446895013,0.06503022238612177
9915,-486.35893142908753,-486.39730635968414,0.03837493059691042
9968,-467.39428786506954,-467.43024319209684,0.03595532702747732
10032,-573.2539112074401,-573.3037161492605,0.04980494182091207
10102,-577.9911701200162,-578.0369590660185,0.0457889460027218
10196,-395.13279681576654,-395.23190808017466,0.09911126440856606
10249,-426.8270335447075,-426.8582513603179,0.03121781561058014
10328,-630.5250224701438,-630.5816660930706,0.056643622927367694
10404,-463.59575740249204,-463.66554922071555,0.06979181822389363
10492,-399.29056567817867,-399.34017028881175,0.04960461063310507
10546,-463.8738142298007,-463.906868031568,0.033053801767528056
10614,-484.82036165585606,-484.87753061286463,0.0571689570089802
10678,-602.9440008334457,-602.9943585440387,0.050357710593380026
10750,-627.8446324969221,-627.8981400772271,0.05350758030544966
10827,-451.6741185720249,-451.74171086439634,0.0675922923721373
10903,-550.810661535683,-550.8726541661614,0.06199263047892599
10950,-391.34087651210024,-391.36722361148446,0.026347099384292957
11003,-314.1188045627477,-314.14488267875674,0.026078116009011866
11084,-208.1554027965019,-208.1973875111627,0.04198471466079355
11147,-504.2859200478591,-504.3177638323335,0.03184378447476773
11217,-518.8362232814459,-518.8823071099497,0.046083828504197295
11279,-455.7433517420939,-455.77324869928816,0.029896957194432614
11342,-525.9469608127504,-525.982119628404,0.035158815653994674
11414,-513.420426049874,-513.4669262228284,0.04650017295498401
11472,-544.9210290031286,-544.9542197751123,0.033190771983936426
11537,-505.2311802814054,-505.2619375441723,0.030757262767292563
11598,-501.9232496091533,-501.95128619199534,0.028036582842469213
11660,-555.6415076646988,-555.6742170321786,0.032709367480129
11710,-419.5287811292168,-419.5563682705461,0.027587141329422592
11783,-494.6370527165723,-494.69374486841366,0.05669215184170752
11850,-577.6058222574869,-577.6429372268481,0.03711496936157345
11902,-342.89202817990173,-342.91765109302673,0.025622913124971093
11972,-472.93270433733375,-472.9767436391402,0.04403930180706084
12039,-494.20950293138765,-494.2527738927455,0.043270961358211936
12110,-655.4277848799462,-655.4717987382297,0.04401385828386992
12205,-437.8276839025266,-437.87636738928904,0.048683486762456575
12272,-645.1346001944315,-645.1790247286009,0.04442453416995706
12346,-513.0188711582705,-513.0639299823918,0.04505882412195207
12410,-570.7415396097342,-570.7741353822394,0.03259577250573784
12462,-458.18389547641186,-458.2073327532901,0.02343727687839419
12545,-446.0602543232124,-446.1168926488696,0.05663832565769554
12612,-565.730078882527,-565.7760659873138,0.04598710478749127
12699,-225.10324917985713,-225.14234872265365,0.03909954279661179
12753,-462.7481637348433,-462.7694202255235,0.021256490680389106
12816,-483.7630181575355,-483.7898623019847,0.026844144449569278
12881,-478.21714399250016,-478.2460676157405,0.028923623240552847
12948,-544.3684398333979,-544.4016493200058,0.0332094866083935
13021,-619.5341654348294,-619.5808803998267,0.046714964997954675
13081,-409.13927117676974,-409.1651538921523,0.025882715382613237
13150,-565.9881891997325,-566.0182741000572,0.030084900325164192
13234,-430.8218812132558,-430.8759011109658,0.05401989771053196
13319,-470.7704873317125,-470.8102938116027,0.03980647989083082
13391,-614.1292513856321,-614.1676875703388,0.0384361847070977
13459,-631.5543808496096,-631.5885704373821,0.03418958777328954
13512,-391.3718327671811,-391.3919651847737,0.02013241759268567
13582,-522.4575806871485,-522.4938821120727,0.03630142492474988
13650,-509.00427557756075,-509.03981794374795,0.03554236618801952
13734,-566.3602213080687,-566.4061756231532,0.04595431508496404
13806,-441.6855262046007,-441.7270063657567,0.041480161156505345
13856,-369.2846720932572,-369.30104247520757,0.01637038195040077
13933,-677.0124047102507,-677.0574234881534,0.04501877790316939
13983,-378.77788810857476,-378.7951381508554,0.017250042280647904
14054,-507.21143566361343,-507.244553030847,0.03311736723408104
14113,-443.0513703324274,-443.06755144724383,0.016181114816572514
14191,-669.7579401732407,-669.8038370801463,0.045896906906273224
14241,-320.85360592947245,-320.8656102992958,0.012004369823262093
14324,-445.5321535564724,-445.5768392289516,0.04468567247968168
14406,-499.8520782846707,-499.8981239183666,0.046045633696485316
14469,-580.4312965300253,-580.4610214522423,0.029724922217428684
14529,-473.9308887244592,-473.95148364170825,0.02059491724940017
14597,-426.75500259410376,-426.7950671590677,0.04006456496426836
14662,-576.4570962360534,-576.4815747725247,0.02447853647172451
14732,-580.7201110376309,-580.7514057148624,0.03129467723192647
14794,-447.68056947213466,-447.70543631235455,0.024866840220056474
14874,-547.5842328452466,-547.6237734865819,0.039540641335770496
14965,-468.0763068339196,-468.1137286667116,0.037421832792460925
15044,-483.13436234727993,-483.163959410933,0.029597063653636724
15101,-383.8335434754713,-383.84715743238183,0.013613956910558044
