steps,rewards
75,-331.6411140744475
179,-314.54895466240976
287,-57.85675172655255
387,-435.0569964287975
485,-202.60020080489204
584,-255.54673628255713
745,-309.62078372030993
1745,-145.26120090656758
2515,-295.2594121017828
2617,-250.10447528782785
2835,-285.9828847125689
3026,-329.3256758101106
3235,-272.9481394943776
3407,-327.22899483747153
3635,-183.19662296349756
3845,-271.815015432497
3978,-290.21202450523936
4075,-531.3632365789085
4256,-559.6068566812013
4400,-531.8144135307878
4624,-326.0735369720892
5016,-377.0591411237432
5256,-349.1944426276866
5498,-250.95019420548422
6302,-485.9286484846154
7302,-133.16322091353356
7875,-372.392211488659
8187,-135.75151275143392
8464,-328.6148458543995
8639,-180.5219787028206
9581,-468.5327124156403
10581,-105.81607827292827
11581,-97.56120603663537
12581,-100.50108437364423
13449,128.84655865776142
13633,-251.28142609064736
13927,-263.038638573177
14102,-15.018069248551981
14377,-73.76635042707952
15377,-75.20771671319274
16377,-85.07069265277536
17377,-78.38770048392547
18377,-148.1040473520017
19377,-132.32239724544942
